region,country,ico_member,calendar_year,imports_1k_bags,imports_kg,imports_lb
Europe,Austria,member,1990.0,1879.7170038,112783020.22799999,248643997.7552149
Europe,Belgium,member,1990.0,1889.1618075785245,113349708.45471147,249893331.4393591
Europe,Bulgaria,member,1990.0,268.1829982,16090979.891999999,35474538.27763667
Europe,Croatia,member,1990.0,,,
Europe,Cyprus,member,1990.0,49.853999,2991239.9400000004,6594555.239105238
Europe,Czechia,member,1990.0,659.433,39565980.0,87228054.56366466
Europe,Denmark,member,1990.0,959.1050037,57546300.222,126867875.27319288
Europe,Estonia,member,1990.0,,,
Europe,Finland,member,1990.0,1095.1409982,65708459.892000005,144862357.1248266
Europe,France,member,1990.0,6301.2210348,378073262.088,833508866.3158288
Europe,Germany,member,1990.0,13670.9460046,820256760.276,1808356609.429862
Europe,Greece,member,1990.0,641.9630004,38517780.024000004,84917169.18435244
Europe,Hungary,member,1990.0,573.974,34438440.0,75923763.88522391
Europe,Ireland,member,1990.0,129.4770008,7768620.048,17126875.498378232
Europe,Italy,member,1990.0,5241.8309999,314509859.994,693375552.1376487
Europe,Latvia,member,1990.0,,,
Europe,Lithuania,member,1990.0,,,
Europe,Luxembourg,member,1990.0,125.79220972147552,7547532.583288531,16639461.072267864
Europe,Malta,member,1990.0,20.7139989,1242839.934,2739993.033834961
Europe,Netherlands,member,1990.0,3128.1500184,187689001.104,413783417.706308
Europe,Poland,member,1990.0,435.0650014,26103900.084,57549248.64369851
Europe,Portugal,member,1990.0,551.5890006,33095340.035999995,72962735.32118358
Europe,Romania,member,1990.0,441.5340034,26492040.204000004,58404951.1326981
Europe,Slovakia,member,1990.0,0.0,0.0,0.0
Europe,Slovenia,member,1990.0,0.0,0.0,0.0
Europe,Spain,member,1990.0,3053.2510005,183195060.03,403875973.55330676
Europe,Sweden,member,1990.0,1766.6740031,106000440.18599999,233690968.3601134
Asia & Oceania,Japan,member,1990.0,5329.7500039,319785000.23399997,705005245.6441839
Europe,Norway,member,1990.0,742.0400021,44522400.126,98155090.4968369
Europe,Russian Federation,member,1990.0,0.0,0.0,0.0
Europe,Switzerland,member,1990.0,1170.5080015,70230480.09,154831705.14980003
Africa,Tunisia,member,1990.0,100.999998,6059999.880000001,13360012.823856287
Europe,United Kingdom,member,1990.0,2898.2980084,173897880.504,383379201.2508865
North America,United States of America,member,1990.0,21006.7860098,1260407160.5879998,2778722138.97403
Europe,Austria,member,1991.0,2058.2710046,123496260.27600001,272262649.11834514
Europe,Belgium,member,1991.0,1637.2093778916267,98232562.6734976,216565729.87229073
Europe,Bulgaria,member,1991.0,200.2200014,12013200.084,26484572.665996723
Europe,Croatia,member,1991.0,,,
Europe,Cyprus,member,1991.0,53.9259999,3235559.994,7133188.75712525
Europe,Czechia,member,1991.0,525.274,31516440.0,69481856.58417821
Europe,Denmark,member,1991.0,982.7570044,58965420.264,129996499.4209068
Europe,Estonia,member,1991.0,,,
Europe,Finland,member,1991.0,1033.0669994,61984019.964,136651372.60583642
Europe,France,member,1991.0,6552.7090407,393162542.442,866775035.1316938
Europe,Germany,member,1991.0,13228.8510044,793731060.2639999,1749877451.123
Europe,Greece,member,1991.0,407.0270007,24421620.042,53840456.00681855
Europe,Hungary,member,1991.0,640.9870026,38459220.156,84788066.77462709
Europe,Ireland,member,1991.0,118.2670007,7096020.042,15644046.309694188
Europe,Italy,member,1991.0,4630.0230003,277801380.01799995,612447206.7688313
Europe,Latvia,member,1991.0,,,
Europe,Lithuania,member,1991.0,,,
Europe,Luxembourg,member,1991.0,109.01564100837325,6540938.4605023945,14420300.898152292
Europe,Malta,member,1991.0,16.0740031,964440.1859999999,2126226.6514768214
Europe,Netherlands,member,1991.0,3120.7740193,187246441.158,412807740.0378317
Europe,Poland,member,1991.0,249.8710028,14992260.168000001,33052275.919033486
Europe,Portugal,member,1991.0,557.4690006,33448140.035999995,73740526.18217227
Europe,Romania,member,1991.0,335.4500121,20127000.726,44372441.11053097
Europe,Slovakia,member,1991.0,0.0,0.0,0.0
Europe,Slovenia,member,1991.0,0.0,0.0,0.0
Europe,Spain,member,1991.0,2969.5430003,178172580.018,392803300.5010621
Europe,Sweden,member,1991.0,1717.0869997,103025219.98200001,227131730.59338987
Asia & Oceania,Japan,member,1991.0,5510.469001,330628140.06,728910276.9964663
Europe,Norway,member,1991.0,761.2149993,45672899.958000004,100691508.45289873
Europe,Russian Federation,member,1991.0,0.0,0.0,0.0
Europe,Switzerland,member,1991.0,1130.2920016,67817520.096,149512038.9614086
Africa,Tunisia,member,1991.0,90.2010012,5412060.072,11931550.065542338
Europe,United Kingdom,member,1991.0,2805.9140049,168354840.29399997,371158889.4100962
North America,United States of America,member,1991.0,19839.6300126,1190377800.7559998,2624333828.0947294
Europe,Austria,member,1992.0,2206.416005,132384960.3,291858878.27009416
Europe,Belgium,member,1992.0,1713.739523505998,102824371.41035989,226688935.28878582
Europe,Bulgaria,member,1992.0,182.2310123,10933860.738,24105036.727152336
Europe,Croatia,member,1992.0,168.1900054,10091400.324,22247729.440434817
Europe,Cyprus,member,1992.0,40.8759994,2452559.964,5406969.178078022
Europe,Czechia,member,1992.0,474.7310027,28483860.161999997,62796162.4707572
Europe,Denmark,member,1992.0,1061.6230043,63697380.25800001,140428685.4693684
Europe,Estonia,member,1992.0,16.3780004,982680.0240000001,2166438.610950501
Europe,Finland,member,1992.0,1055.3610004,63321660.024000004,139600364.14200523
Europe,France,member,1992.0,6612.0560409,396723362.454,874625299.4824853
Europe,Germany,member,1992.0,13788.5540061,827313240.3659999,1823913485.06691
Europe,Greece,member,1992.0,348.9230017,20935380.101999998,46154612.569897555
Europe,Hungary,member,1992.0,522.2479992,31334879.952,69081585.19513324
Europe,Ireland,member,1992.0,94.5680001,5674080.006,12509205.139414383
Europe,Italy,member,1992.0,4594.7269999,275683619.994,607778345.1122714
Europe,Latvia,member,1992.0,20.2589989,1215539.9340000001,2679806.836258456
Europe,Lithuania,member,1992.0,1.8630004,111780.02399999999,246432.76958133592
Europe,Luxembourg,member,1992.0,114.1114967940021,6846689.807640125,15094367.234713245
Europe,Malta,member,1992.0,17.8580006,1071480.0359999998,2362209.126226252
Europe,Netherlands,member,1992.0,3204.9520199,192297121.19399998,423942583.50092345
Europe,Poland,member,1992.0,1787.0570286,107223421.716,236387181.10725617
Europe,Portugal,member,1992.0,591.1740014,35470440.084,78198934.6161614
Europe,Romania,member,1992.0,603.2080224,36192481.344000004,79790763.1118665
Europe,Slovakia,member,1992.0,0.0,0.0,0.0
Europe,Slovenia,member,1992.0,122.8749995,7372499.970000001,16253580.213450449
Europe,Spain,member,1992.0,3414.2900029,204857400.17400002,451633258.6769786
Europe,Sweden,member,1992.0,1771.7250019,106303500.11400001,234359101.13315848
Asia & Oceania,Japan,member,1992.0,5325.6159975,319536959.84999996,704458410.2024851
Europe,Norway,member,1992.0,739.1450011,44348700.066,97772147.41514419
Europe,Russian Federation,member,1992.0,1381.858008,82911480.47999999,182788525.47728267
Europe,Switzerland,member,1992.0,1101.2510016,66075060.096,145670572.22773984
Africa,Tunisia,member,1992.0,110.5830012,6634980.072,14627627.162255142
Europe,United Kingdom,member,1992.0,3088.172009,185290320.54,408495232.2723217
North America,United States of America,member,1992.0,22939.0330116,1376341980.6959999,3034314666.044237
Europe,Austria,member,1993.0,1836.4890021,110189340.12600002,242925911.92850357
Europe,Belgium,member,1993.0,1934.4521078957898,116067126.47374739,255884212.67714852
Europe,Bulgaria,member,1993.0,397.4430059,23846580.354,52572710.50219218
Europe,Croatia,member,1993.0,162.7740011,9766440.066,21531314.704445805
Europe,Cyprus,member,1993.0,77.4120001,4644720.006,10239854.797386868
Europe,Czechia,member,1993.0,514.2770051,30856620.306,68027203.16044368
Europe,Denmark,member,1993.0,993.9470002,59636820.012,131476682.493652
Europe,Estonia,member,1993.0,51.1479976,3068879.8559999997,6765721.95427737
Europe,Finland,member,1993.0,1301.4559992,78087359.95199999,172153160.2307229
Europe,France,member,1993.0,6334.4680437,380068082.622,837906692.7916161
Europe,Germany,member,1993.0,14107.0030059,846420180.354,1866037077.1987853
Europe,Greece,member,1993.0,374.593002,22475580.12,49550172.37175414
Europe,Hungary,member,1993.0,668.0559984,40083359.904,88368682.00411364
Europe,Ireland,member,1993.0,110.5420007,6632520.042,14622203.724466713
Europe,Italy,member,1993.0,5593.7050012,335622300.07199997,739920515.13606
Europe,Latvia,member,1993.0,59.7739984,3586439.904,7906746.544263942
Europe,Lithuania,member,1993.0,9.100001,546000.06,1203724.0838074575
Europe,Luxembourg,member,1993.0,128.80792120421003,7728475.272252602,17038371.417616423
Europe,Malta,member,1993.0,22.6130018,1356780.108,2991188.1189728864
Europe,Netherlands,member,1993.0,2803.7290104,168223740.624,370869864.1118973
Europe,Poland,member,1993.0,1670.4975109,100229850.654,220968996.13645542
Europe,Portugal,member,1993.0,666.4470031,39986820.186,88155848.35790382
Europe,Romania,member,1993.0,425.3500156,25521000.936,56264175.99576063
Europe,Slovakia,member,1993.0,288.4769937,17308619.622,38158974.371658
Europe,Slovenia,member,1993.0,152.2179984,9133079.904000001,20134994.56352203
Europe,Spain,member,1993.0,2813.0879997,168785279.982,372107846.4836031
Europe,Sweden,member,1993.0,1756.6010072,105396060.432,232358539.08225688
Asia & Oceania,Japan,member,1993.0,5691.1200039,341467200.23399997,752806314.2556599
Europe,Norway,member,1993.0,692.8290015,41569740.09,91645589.38683887
Europe,Russian Federation,member,1993.0,1794.9460127,107696760.76200001,237430715.07587266
Europe,Switzerland,member,1993.0,1059.8780009,63592680.05399999,140197861.03111765
Africa,Tunisia,member,1993.0,100.6240008,6037440.048,13310276.907883951
Europe,United Kingdom,member,1993.0,3196.9810113,191818860.678,422888199.54821223
North America,United States of America,member,1993.0,19328.7210125,1159723260.75,2556752135.7350965
Europe,Austria,member,1994.0,1417.2140039,85032840.23400001,187465323.18003327
Europe,Belgium,member,1994.0,2121.228382181519,127273702.93089116,280590484.6480593
Europe,Bulgaria,member,1994.0,462.6680067,27760080.402,61200501.23862404
Europe,Croatia,member,1994.0,193.4500023,11607000.138,25589055.076050874
Europe,Cyprus,member,1994.0,51.8360006,3110160.036,6856729.17293941
Europe,Czechia,member,1994.0,553.7970031,33227820.185999997,73254804.05681966
Europe,Denmark,member,1994.0,1033.1840026,61991040.156,136666849.47992936
Europe,Estonia,member,1994.0,83.0979984,4985879.904,10991983.626185706
Europe,Finland,member,1994.0,1361.0030016,81660180.096,180029880.34398672
Europe,France,member,1994.0,6368.6620423,382119722.53800005,842429784.5623202
Europe,Germany,member,1994.0,13583.2150079,814992900.474,1796751785.032126
Europe,Greece,member,1994.0,502.1280018,30127680.108,66420165.10995705
Europe,Hungary,member,1994.0,771.2219983,46273319.898,102015207.83523254
Europe,Ireland,member,1994.0,130.5400011,7832400.066000001,17267486.368883036
Europe,Italy,member,1994.0,5553.7660032,333225960.19200003,734637490.0269709
Europe,Latvia,member,1994.0,22.5559992,1353359.9519999998,2983647.96568503
Europe,Lithuania,member,1994.0,46.726994,2803619.64,6180923.281406954
Europe,Luxembourg,member,1994.0,141.24465381848066,8474679.22910884,18683469.54141567
Europe,Malta,member,1994.0,13.2119992,792719.9519999999,1747648.338971046
Europe,Netherlands,member,1994.0,2799.8810219,167992861.314,370360862.3621541
Europe,Poland,member,1994.0,1842.641218,110558473.08,243739710.78936225
Europe,Portugal,member,1994.0,663.8620028,39831720.168,87813911.34957168
Europe,Romania,member,1994.0,347.4469961,20846819.766,45959370.44975332
Europe,Slovakia,member,1994.0,256.6931383,15401588.298,33954689.97419104
Europe,Slovenia,member,1994.0,159.1390023,9548340.138,21050486.66935315
Europe,Spain,member,1994.0,3028.4249997,181705499.982,400592055.77488196
Europe,Sweden,member,1994.0,1893.2920079,113597520.474,250439663.42304894
Asia & Oceania,Japan,member,1994.0,6217.1510051,373029060.306,822388304.9580555
Europe,Norway,member,1994.0,805.6280003,48337680.01800001,106566342.85542953
Europe,Russian Federation,member,1994.0,1725.7300188,103543801.12799999,228275006.31912634
Europe,Switzerland,member,1994.0,1099.4060017,65964360.102,145426520.51672876
Africa,Tunisia,member,1994.0,137.2670004,8236020.023999999,18157316.058919977
Europe,United Kingdom,member,1994.0,3465.8600125,207951600.74999997,458454803.2633694
North America,United States of America,member,1994.0,16171.2450161,970274700.9660001,2139089555.158388
Europe,Austria,member,1995.0,1231.4360012,73886160.072,162891099.93636143
Europe,Belgium,member,1995.0,2251.574135333251,135094448.11999506,297832276.4116823
Europe,Bulgaria,member,1995.0,515.418008,30925080.479999997,68178132.00873984
Europe,Croatia,member,1995.0,320.1320059,19207920.354000002,42346215.731121466
Europe,Cyprus,member,1995.0,43.7689997,2626139.982,5789647.612461952
Europe,Czechia,member,1995.0,553.1969994,33191819.963999998,73175437.15300685
Europe,Denmark,member,1995.0,877.1590019,52629540.114,116028274.71288642
Europe,Estonia,member,1995.0,107.4780016,6448680.096,14216906.02071543
Europe,Finland,member,1995.0,769.4989997,46169939.982,101787294.13377398
Europe,France,member,1995.0,6213.6800447,372820802.682,821929175.4890124
Europe,Germany,member,1995.0,12851.8350055,771110100.33,1700006771.1245413
Europe,Greece,member,1995.0,522.5950037,31355700.222,69127486.03336826
Europe,Hungary,member,1995.0,519.5049966,31170299.796,68718748.06010804
Europe,Ireland,member,1995.0,114.6070016,6876420.096,15159911.300985549
Europe,Italy,member,1995.0,5387.8610048,323271660.288,712692015.273933
Europe,Latvia,member,1995.0,29.5221127,1771326.762,3905107.0501935114
Europe,Lithuania,member,1995.0,112.9476799,6776860.794,14940420.611580752
Europe,Luxembourg,member,1995.0,149.92388936674894,8995433.362004938,19831535.883220285
Europe,Malta,member,1995.0,22.6474855,1358849.13,2995749.531679191
Europe,Netherlands,member,1995.0,2910.3660226,174621961.356,384975526.2772541
Europe,Poland,member,1995.0,1770.7091091,106242546.546,234224721.5182632
Europe,Portugal,member,1995.0,633.1680027,37990080.162,83753790.13104011
Europe,Romania,member,1995.0,551.3430059,33080580.354,72930195.79235508
Europe,Slovakia,member,1995.0,250.086974,15005218.44,33080844.018624768
Europe,Slovenia,member,1995.0,147.6190005,8857140.03,19526651.275031187
Europe,Spain,member,1995.0,3145.866003,188751960.18,416126841.33135843
Europe,Sweden,member,1995.0,1420.4419989,85226519.934,187892313.82804638
Asia & Oceania,Japan,member,1995.0,5489.087004,329345220.24,726081922.9392745
Europe,Norway,member,1995.0,662.0980007,39725880.041999996,87580573.81349263
Europe,Russian Federation,member,1995.0,1728.1440144,103688640.864,228594323.2776547
Europe,Switzerland,member,1995.0,1016.829001,61009740.059999995,134503453.08946416
Africa,Tunisia,member,1995.0,136.7830008,8206980.048,18093293.8708924
Europe,United Kingdom,member,1995.0,2806.7230152,168403380.912,371265903.15461767
North America,United States of America,member,1995.0,17106.8570142,1026411420.8519999,2262849837.73552
Europe,Austria,member,1996.0,1210.4660056,72627960.336,160117244.33557013
Europe,Belgium,member,1996.0,2368.138170098804,142088290.20592824,313251058.8879772
Europe,Bulgaria,member,1996.0,272.1599948,16329599.688,36000604.8779195
Europe,Croatia,member,1996.0,321.8359979,19310159.874,42571615.28976055
Europe,Cyprus,member,1996.0,51.5019993,3090119.958,6812548.363636972
Europe,Czechia,member,1996.0,525.2980024,31517880.144,69485031.55821934
Europe,Denmark,member,1996.0,1005.9992001,60359952.006,133070915.64620788
Europe,Estonia,member,1996.0,116.9180065,7015080.390000001,15465604.921890322
Europe,Finland,member,1996.0,992.2736017,59536416.102,131255329.7623438
Europe,France,member,1996.0,6659.513448,399570806.88,880902839.8785056
Europe,Germany,member,1996.0,13507.1289088,810427734.528,1786687316.915075
Europe,Greece,member,1996.0,765.5065046,45930390.276,101259177.43286887
Europe,Hungary,member,1996.0,602.9059997,36174359.982,79750812.34726256
Europe,Ireland,member,1996.0,98.1580015,5889480.09,12984081.037349174
Europe,Italy,member,1996.0,5607.9872065,336479232.39000005,741809727.5097173
Europe,Latvia,member,1996.0,65.7523067,3945138.4020000002,8697541.36737836
Europe,Lithuania,member,1996.0,149.5614977,8973689.861999998,19783599.6712312
Europe,Luxembourg,member,1996.0,157.68545190119602,9461127.11407176,20858214.863881007
Europe,Malta,member,1996.0,9.2316602,553899.612,1221139.6148491376
Europe,Netherlands,member,1996.0,3083.9573207,185037439.242,407937724.44210815
Europe,Poland,member,1996.0,1924.0740593,115444443.558,254511431.8348523
Europe,Portugal,member,1996.0,742.9592039,44577552.234000005,98276680.08177641
Europe,Romania,member,1996.0,696.558,41793480.0,92138851.45383553
Europe,Slovakia,member,1996.0,260.5458129,15632748.774,34464311.588858254
Europe,Slovenia,member,1996.0,174.6336196,10478017.176,23100073.698342454
Europe,Spain,member,1996.0,3515.2775081,210916650.486,464991618.9862654
Europe,Sweden,member,1996.0,1522.3792987,91342757.92199999,201376310.4570095
Asia & Oceania,Japan,member,1996.0,5994.1130043,359646780.258,792885427.6323029
Europe,Norway,member,1996.0,719.8916018,43193496.107999995,95225358.63648672
Europe,Russian Federation,member,1996.0,1127.9720065,67678320.39,149205156.1406061
Europe,Switzerland,member,1996.0,1111.6270013,66697620.07800001,147043082.04751557
Africa,Tunisia,member,1996.0,143.6500008,8619000.047999999,19001642.483547032
Europe,United Kingdom,member,1996.0,2903.4531141,174207186.84600002,384061105.0095414
North America,United States of America,member,1996.0,19444.5331182,1166671987.092,2572071455.021714
Europe,Austria,member,1997.0,1294.2034055,77652204.33,171193806.30243653
Europe,Belgium,member,1997.0,2385.535447922561,143132126.8753537,315552324.8229091
Europe,Bulgaria,member,1997.0,294.1540027,17649240.161999997,38909914.11960875
Europe,Croatia,member,1997.0,385.2970035,23117820.21,50966069.40282712
Europe,Cyprus,member,1997.0,41.3409992,2480459.952,5468478.122772166
Europe,Czechia,member,1997.0,560.2250029,33613500.174,74105082.88315932
Europe,Denmark,member,1997.0,949.0705001,56944230.006,125540537.65505716
Europe,Estonia,member,1997.0,141.1149967,8466899.802000001,18666318.84042649
Europe,Finland,member,1997.0,1185.5213024,71131278.144,156817624.91736686
Europe,France,member,1997.0,6703.9852508,402239115.04800004,886785452.4277456
Europe,Germany,member,1997.0,13905.1847161,834311082.966,1839341087.1670158
Europe,Greece,member,1997.0,788.6210034,47317260.203999996,104316702.24970114
Europe,Hungary,member,1997.0,674.9599991,40497599.946,89281924.97158295
Europe,Ireland,member,1997.0,106.2836012,6377016.072000001,14058913.89223223
Europe,Italy,member,1997.0,5742.6319091,344557914.546,759620172.9455708
Europe,Latvia,member,1997.0,143.6437529,8618625.174,19000816.027846295
Europe,Lithuania,member,1997.0,187.1143479,11226860.874000002,24750991.455183066
Europe,Luxembourg,member,1997.0,158.84387147743865,9530632.28864632,21011447.544083714
Europe,Malta,member,1997.0,9.4585531,567513.186,1251152.4080537667
Europe,Netherlands,member,1997.0,2923.7728279,175426369.674,386748943.0523212
Europe,Poland,member,1997.0,2253.0820657,135184923.942,298031741.4556049
Europe,Portugal,member,1997.0,727.2904035,43637424.21,96204052.57263087
Europe,Romania,member,1997.0,630.977005,37858620.3,83463970.74540962
Europe,Slovakia,member,1997.0,252.8846355,15173078.13,33450911.288495496
Europe,Slovenia,member,1997.0,170.6471772,10238830.632,22572757.63259793
Europe,Spain,member,1997.0,3776.5606067,226593636.40199998,499553456.7791028
Europe,Sweden,member,1997.0,1472.8415002,88370490.012,194823581.38442466
Asia & Oceania,Japan,member,1997.0,5921.4150006,355284900.036,783269127.8210815
Europe,Norway,member,1997.0,683.8884018,41033304.108,90462950.48574734
Europe,Russian Federation,member,1997.0,2185.2884509,131117307.054,289064181.247301
Europe,Switzerland,member,1997.0,970.7720002,58246320.012,128411154.73796956
Africa,Tunisia,member,1997.0,164.6170008,9877020.048,21775101.834286775
Europe,United Kingdom,member,1997.0,2929.3380148,175760280.888,387485091.268395
North America,United States of America,member,1997.0,20342.7458248,1220564749.488,2690884658.153923
Europe,Austria,member,1998.0,1293.3541061,77601246.366,171081463.2222387
Europe,Belgium,member,1998.0,3356.201056930393,201372063.41582358,443949406.41513747
Europe,Bulgaria,member,1998.0,342.1220043,20527320.258,45254994.606746584
Europe,Croatia,member,1998.0,339.0510012,20343060.072,44848770.43238469
Europe,Cyprus,member,1998.0,49.7789994,2986739.9639999997,6584634.490217854
Europe,Czechia,member,1998.0,764.8390017,45890340.102,101170881.91325943
Europe,Denmark,member,1998.0,1013.7232012,60823392.072,134092626.09958313
Europe,Estonia,member,1998.0,134.6589964,8079539.784,17812336.18194346
Europe,Finland,member,1998.0,1167.9353022,70076118.132,154491395.28524017
Europe,France,member,1998.0,6576.0226523,394561359.138,869858898.0635171
Europe,Germany,member,1998.0,13739.5684148,824374104.888,1817433800.5034294
Europe,Greece,member,1998.0,704.455603,42267336.18,93183525.50776696
Europe,Hungary,member,1998.0,715.5939943,42935639.658,94656882.47362679
Europe,Ireland,member,1998.0,101.9779012,6118674.072000001,13489367.274858257
Europe,Italy,member,1998.0,5889.3935096,353363610.576,779033409.6144434
Europe,Latvia,member,1998.0,158.9554603,9537327.618,21026208.21863758
Europe,Lithuania,member,1998.0,185.1496673,11108980.038,24491108.697454873
Europe,Luxembourg,member,1998.0,223.47685916960683,13408611.550176408,29560928.351118106
Europe,Malta,member,1998.0,10.1044031,606264.1860000001,1336583.7392730764
Europe,Netherlands,member,1998.0,2862.0483243,171722899.458,378584188.8347799
Europe,Poland,member,1998.0,2292.9605138,137577630.828,303306757.1839368
Europe,Portugal,member,1998.0,761.5868043,45695208.258,100740689.83573374
Europe,Romania,member,1998.0,595.3020037,35718120.222,78744975.85137916
Europe,Slovakia,member,1998.0,258.9295347,15535772.081999999,34250514.57988287
Europe,Slovenia,member,1998.0,174.3027642,10458165.852,23056309.02037838
Europe,Spain,member,1998.0,3717.653605,223059216.3,491761394.2671123
Europe,Sweden,member,1998.0,1439.636799,86378207.94000001,190431351.2593873
Asia & Oceania,Japan,member,1998.0,6026.9650023,361617900.1380001,797231003.1101292
Europe,Norway,member,1998.0,706.8768005,42412608.029999994,93503795.11459495
Europe,Russian Federation,member,1998.0,1731.917618,103915057.08,229093485.589402
Europe,Switzerland,member,1998.0,1111.8350017,66710100.102,147070595.7907472
Africa,Tunisia,member,1998.0,147.417,8845020.0,19499931.182715688
Europe,United Kingdom,member,1998.0,3142.4080165,188544480.99,415669428.0155213
North America,United States of America,member,1998.0,21030.4011333,1261824067.9980001,2781845885.1031837
Europe,Austria,member,1999.0,1499.7770114,89986620.684,198386539.62378153
Europe,Belgium,member,1999.0,3003.0055122,180180330.732,397229633.14418197
Europe,Bulgaria,member,1999.0,366.9190043,22015140.257999998,48535076.23598744
Europe,Croatia,member,1999.0,352.0830048,21124980.288000003,46572609.42906013
Europe,Cyprus,member,1999.0,55.4585999,3327515.994,7335917.034940089
Europe,Czechia,member,1999.0,727.6767881,43660607.286,96255162.50642453
Europe,Denmark,member,1999.0,1093.7793024,65626758.143999994,144682235.6029411
Europe,Estonia,member,1999.0,130.9134032,7854804.192,17316879.011885412
Europe,Finland,member,1999.0,1209.4849999,72569099.994,159987479.4940671
Europe,France,member,1999.0,6675.6656522,400539939.132,883039410.7648293
Europe,Germany,member,1999.0,14320.0270212,859201621.272,1894215330.9864473
Europe,Greece,member,1999.0,732.9623054,43977738.324,96954316.76689011
Europe,Hungary,member,1999.0,762.0653045,45723918.269999996,100803984.57766251
Europe,Ireland,member,1999.0,142.0334995,8522009.97,18787815.963493243
Europe,Italy,member,1999.0,5943.0875112,356585250.67200005,786135910.2495443
Europe,Latvia,member,1999.0,183.1094766,10986568.595999999,24221237.66324839
Europe,Lithuania,member,1999.0,206.2732062,12376392.372000001,27285274.600202985
Europe,Luxembourg,member,1999.0,145.0452036,8702712.216,19186196.222843945
Europe,Malta,member,1999.0,8.9042352,534254.1120000001,1177828.7011315837
Europe,Netherlands,member,1999.0,2565.5043218,153930259.308,339358131.8576533
Europe,Poland,member,1999.0,2403.6349207,144218095.24199998,317946475.25063103
Europe,Portugal,member,1999.0,816.947305,49016838.300000004,108063630.56774351
Europe,Romania,member,1999.0,511.423008,30685380.479999997,67649683.9662824
Europe,Slovakia,member,1999.0,268.9757881,16138547.286,35579406.43051152
Europe,Slovenia,member,1999.0,181.5247271,10891483.626000002,24011611.18738847
Europe,Spain,member,1999.0,3986.023909,239161434.54,527260708.86098194
Europe,Sweden,member,1999.0,1455.6766993,87340601.95800002,192553066.88260326
Asia & Oceania,Japan,member,1999.0,6547.4849994,392849099.964,866084012.7540464
Europe,Norway,member,1999.0,789.9776023,47398656.138,104496149.56712414
Europe,Russian Federation,member,1999.0,1368.0771672,82084630.032,180965632.2747351
Europe,Switzerland,member,1999.0,1138.9260014,68335560.08399999,150654121.63797626
Africa,Tunisia,member,1999.0,185.7474234,11144845.404,24570178.2946794
Europe,United Kingdom,member,1999.0,2907.2550112,174435300.672,384564009.9106977
North America,United States of America,member,1999.0,22746.4323379,1364785940.2740002,3008837957.910884
Europe,Austria,member,2000.0,1257.2328923,75433973.538,166303444.51790908
Europe,Belgium,member,2000.0,3490.6155829,209436934.97399998,461729404.6946078
Europe,Bulgaria,member,2000.0,280.7270156,16843620.936000004,37133827.74937188
Europe,Croatia,member,2000.0,344.3819963,20662919.778,45553940.376050584
