country,indicator_name,calendar_year,price_paid_cents_per_lb,price_paid_dollars_per_lb
Colombia,colombian_milds,1990,69.523,0.69523
Kenya,colombian_milds,1990,60.5721,0.605721
Tanzania,colombian_milds,1990,40.8183,0.408183
Bolivia (Plurinational State of),other_milds,1990,51.7802,0.517802
Burundi,other_milds,1990,58.0195,0.580195
Cameroon,other_milds,1990,32.2852,0.32285200000000003
Costa Rica,other_milds,1990,58.4893,0.584893
Cuba,other_milds,1990,171.4282,1.714282
Democratic Republic of Congo,other_milds,1990,,
Dominican Republic,other_milds,1990,66.055,0.6605500000000001
Ecuador,other_milds,1990,35.2113,0.352113
El Salvador,other_milds,1990,50.5636,0.505636
Guatemala,other_milds,1990,54.5845,0.545845
Haiti,other_milds,1990,41.2845,0.412845
Honduras,other_milds,1990,50.3496,0.503496
India,other_milds,1990,66.7522,0.6675220000000001
Jamaica,other_milds,1990,171.5513,1.715513
Madagascar,other_milds,1990,,
Malawi,other_milds,1990,84.873,0.8487300000000001
Mexico,other_milds,1990,79.5617,0.795617
Nicaragua,other_milds,1990,,
Panama,other_milds,1990,49.304,0.49304000000000003
Papua New Guinea,other_milds,1990,65.5004,0.655004
Peru,other_milds,1990,90.3729,0.903729
Rwanda,other_milds,1990,74.2047,0.742047
Sri Lanka,other_milds,1990,,
Uganda,other_milds,1990,15.2932,0.152932
Venezuela,other_milds,1990,,
Zambia,other_milds,1990,89.7541,0.8975409999999999
Zimbabwe,other_milds,1990,,
Angola,brazilian_naturals,1990,,
Brazil,brazilian_naturals,1990,54.3248,0.5432480000000001
Ethiopia,brazilian_naturals,1990,61.09,0.6109
Indonesia,brazilian_naturals,1990,,
Philippines,brazilian_naturals,1990,,
Thailand,brazilian_naturals,1990,,
Viet Nam,brazilian_naturals,1990,,
Angola,robustas,1990,85.6569,0.8565689999999999
Benin,robustas,1990,53.7609,0.537609
Brazil,robustas,1990,34.8486,0.34848599999999996
Burundi,robustas,1990,,
Cameroon,robustas,1990,28.3337,0.283337
Central African Republic,robustas,1990,36.7471,0.36747100000000005
Congo,robustas,1990,19.2087,0.192087
Côte d'Ivoire,robustas,1990,33.4064,0.33406399999999997
Democratic Republic of Congo,robustas,1990,4.5201,0.045201000000000005
Ecuador,robustas,1990,19.0602,0.190602
Gabon,robustas,1990,43.4284,0.43428400000000006
Ghana,robustas,1990,,
Guinea,robustas,1990,34.3722,0.34372199999999997
India,robustas,1990,44.3451,0.44345100000000004
Indonesia,robustas,1990,29.6807,0.29680700000000004
Liberia,robustas,1990,,
Madagascar,robustas,1990,32.4545,0.32454500000000003
Nigeria,robustas,1990,70.5228,0.7052280000000001
Papua New Guinea,robustas,1990,26.5984,0.265984
Philippines,robustas,1990,34.2253,0.342253
Sierra Leone,robustas,1990,26.1686,0.26168600000000003
Sri Lanka,robustas,1990,26.8959,0.268959
Tanzania,robustas,1990,17.007,0.17007000000000003
Thailand,robustas,1990,37.7181,0.377181
Togo,robustas,1990,29.2306,0.292306
Trinidad & Tobago,robustas,1990,62.5882,0.625882
Uganda,robustas,1990,7.5418,0.075418
Viet Nam,robustas,1990,36.9183,0.36918300000000004
Colombia,colombian_milds,1991,67.1251,0.671251
Kenya,colombian_milds,1991,50.6778,0.506778
Tanzania,colombian_milds,1991,49.5039,0.495039
Bolivia (Plurinational State of),other_milds,1991,52.423,0.52423
Burundi,other_milds,1991,55.0206,0.550206
Cameroon,other_milds,1991,28.2347,0.282347
Costa Rica,other_milds,1991,52.7258,0.527258
Cuba,other_milds,1991,171.4282,1.714282
Democratic Republic of Congo,other_milds,1991,,
Dominican Republic,other_milds,1991,62.6429,0.626429
Ecuador,other_milds,1991,36.1803,0.36180300000000004
El Salvador,other_milds,1991,44.5445,0.445445
Guatemala,other_milds,1991,57.5349,0.575349
Haiti,other_milds,1991,23.9888,0.23988800000000002
Honduras,other_milds,1991,56.1243,0.5612429999999999
India,other_milds,1991,61.5342,0.615342
Jamaica,other_milds,1991,227.4241,2.274241
Madagascar,other_milds,1991,,
Malawi,other_milds,1991,70.9354,0.709354
Mexico,other_milds,1991,86.5563,0.865563
Nicaragua,other_milds,1991,44.137,0.44137
Panama,other_milds,1991,47.2497,0.47249699999999994
Papua New Guinea,other_milds,1991,64.5333,0.6453329999999999
Peru,other_milds,1991,,
Rwanda,other_milds,1991,50.3764,0.503764
Sri Lanka,other_milds,1991,,
Uganda,other_milds,1991,29.6408,0.296408
Venezuela,other_milds,1991,,
Zambia,other_milds,1991,70.3159,0.703159
Zimbabwe,other_milds,1991,,
Angola,brazilian_naturals,1991,,
Brazil,brazilian_naturals,1991,43.9931,0.43993099999999996
Ethiopia,brazilian_naturals,1991,68.1911,0.681911
Indonesia,brazilian_naturals,1991,,
Philippines,brazilian_naturals,1991,,
Thailand,brazilian_naturals,1991,,
Viet Nam,brazilian_naturals,1991,,
Angola,robustas,1991,91.1153,0.9111530000000001
Benin,robustas,1991,22.8961,0.228961
Brazil,robustas,1991,27.4947,0.274947
Burundi,robustas,1991,,
Cameroon,robustas,1991,25.0078,0.250078
Central African Republic,robustas,1991,36.6398,0.366398
Congo,robustas,1991,18.5542,0.185542
Côte d'Ivoire,robustas,1991,32.2682,0.322682
Democratic Republic of Congo,robustas,1991,,
Ecuador,robustas,1991,17.8351,0.178351
Gabon,robustas,1991,43.5841,0.435841
Ghana,robustas,1991,,
Guinea,robustas,1991,30.2467,0.302467
India,robustas,1991,40.6472,0.406472
Indonesia,robustas,1991,29.9209,0.299209
Liberia,robustas,1991,,
Madagascar,robustas,1991,22.7618,0.22761800000000001
Nigeria,robustas,1991,59.0325,0.590325
Papua New Guinea,robustas,1991,29.4778,0.294778
Philippines,robustas,1991,34.6061,0.34606099999999995
Sierra Leone,robustas,1991,,
Sri Lanka,robustas,1991,25.2906,0.252906
Tanzania,robustas,1991,17.1071,0.171071
Thailand,robustas,1991,18.3728,0.183728
Togo,robustas,1991,28.6435,0.286435
Trinidad & Tobago,robustas,1991,62.5882,0.625882
Uganda,robustas,1991,11.8428,0.118428
Viet Nam,robustas,1991,30.7256,0.307256
Colombia,colombian_milds,1992,54.5709,0.545709
Kenya,colombian_milds,1992,28.9495,0.289495
Tanzania,colombian_milds,1992,49.1581,0.491581
Bolivia (Plurinational State of),other_milds,1992,43.5276,0.435276
Burundi,other_milds,1992,59.234,0.59234
Cameroon,other_milds,1992,28.7593,0.287593
Costa Rica,other_milds,1992,49.9093,0.499093
Cuba,other_milds,1992,179.9996,1.799996
Democratic Republic of Congo,other_milds,1992,,
Dominican Republic,other_milds,1992,46.5612,0.46561199999999997
Ecuador,other_milds,1992,29.0799,0.290799
El Salvador,other_milds,1992,30.9092,0.309092
Guatemala,other_milds,1992,40.2309,0.40230899999999997
Haiti,other_milds,1992,8.7513,0.08751300000000001
Honduras,other_milds,1992,40.1384,0.40138399999999996
India,other_milds,1992,53.9595,0.5395949999999999
Jamaica,other_milds,1992,182.5115,1.825115
Madagascar,other_milds,1992,,
Malawi,other_milds,1992,48.6849,0.486849
Mexico,other_milds,1992,58.2508,0.582508
Nicaragua,other_milds,1992,44.137,0.44137
Panama,other_milds,1992,44.3736,0.443736
Papua New Guinea,other_milds,1992,57.9582,0.5795819999999999
Peru,other_milds,1992,31.9698,0.319698
Rwanda,other_milds,1992,48.9068,0.48906799999999995
Sri Lanka,other_milds,1992,,
Uganda,other_milds,1992,19.9953,0.199953
Venezuela,other_milds,1992,,
Zambia,other_milds,1992,34.9584,0.34958399999999995
Zimbabwe,other_milds,1992,,
Angola,brazilian_naturals,1992,,
Brazil,brazilian_naturals,1992,45.1989,0.45198900000000003
Ethiopia,brazilian_naturals,1992,61.2061,0.612061
Indonesia,brazilian_naturals,1992,,
Philippines,brazilian_naturals,1992,55.7355,0.557355
Thailand,brazilian_naturals,1992,,
Viet Nam,brazilian_naturals,1992,,
Angola,robustas,1992,44.9183,0.449183
Benin,robustas,1992,24.0067,0.24006699999999997
Brazil,robustas,1992,27.5947,0.275947
Burundi,robustas,1992,47.1618,0.471618
Cameroon,robustas,1992,24.2466,0.24246600000000001
Central African Republic,robustas,1992,33.9318,0.339318
Congo,robustas,1992,19.7491,0.19749099999999997
Côte d'Ivoire,robustas,1992,31.7589,0.317589
Democratic Republic of Congo,robustas,1992,,
Ecuador,robustas,1992,23.307,0.23307
Gabon,robustas,1992,51.5195,0.515195
Ghana,robustas,1992,,
Guinea,robustas,1992,23.7512,0.237512
India,robustas,1992,39.7709,0.397709
Indonesia,robustas,1992,24.9216,0.24921600000000002
Liberia,robustas,1992,,
Madagascar,robustas,1992,22.6204,0.226204
Nigeria,robustas,1992,39.5004,0.39500399999999997
Papua New Guinea,robustas,1992,39.1005,0.391005
Philippines,robustas,1992,42.4765,0.424765
Sierra Leone,robustas,1992,,
Sri Lanka,robustas,1992,31.8496,0.318496
Tanzania,robustas,1992,14.8403,0.14840299999999998
Thailand,robustas,1992,20.3048,0.203048
Togo,robustas,1992,29.8298,0.298298
Trinidad & Tobago,robustas,1992,69.2941,0.692941
Uganda,robustas,1992,8.9537,0.08953699999999999
Viet Nam,robustas,1992,30.707,0.30707
Colombia,colombian_milds,1993,50.1234,0.501234
Kenya,colombian_milds,1993,47.6419,0.476419
Tanzania,colombian_milds,1993,38.2833,0.382833
Bolivia (Plurinational State of),other_milds,1993,27.3283,0.273283
Burundi,other_milds,1993,58.2708,0.582708
Cameroon,other_milds,1993,23.251,0.23251000000000002
Costa Rica,other_milds,1993,54.2666,0.542666
Cuba,other_milds,1993,188.5711,1.885711
Democratic Republic of Congo,other_milds,1993,,
Dominican Republic,other_milds,1993,53.1235,0.531235
Ecuador,other_milds,1993,27.6633,0.276633
El Salvador,other_milds,1993,35.352,0.35351999999999995
Guatemala,other_milds,1993,41.4292,0.414292
Haiti,other_milds,1993,14.4941,0.144941
Honduras,other_milds,1993,37.5422,0.37542200000000003
India,other_milds,1993,57.9237,0.579237
Jamaica,other_milds,1993,255.535,2.55535
Madagascar,other_milds,1993,,
Malawi,other_milds,1993,57.3368,0.573368
Mexico,other_milds,1993,79.3121,0.793121
Nicaragua,other_milds,1993,,
Panama,other_milds,1993,51.7692,0.5176919999999999
Papua New Guinea,other_milds,1993,84.9202,0.8492019999999999
Peru,other_milds,1993,32.4379,0.324379
Rwanda,other_milds,1993,45.2117,0.452117
Sri Lanka,other_milds,1993,,
Uganda,other_milds,1993,25.0191,0.250191
Venezuela,other_milds,1993,,
Zambia,other_milds,1993,54.4883,0.544883
Zimbabwe,other_milds,1993,,
Angola,brazilian_naturals,1993,,
Brazil,brazilian_naturals,1993,52.877,0.5287700000000001
Ethiopia,brazilian_naturals,1993,61.7186,0.617186
Indonesia,brazilian_naturals,1993,115.5349,1.155349
Philippines,brazilian_naturals,1993,54.1985,0.541985
Thailand,brazilian_naturals,1993,,
Viet Nam,brazilian_naturals,1993,,
Angola,robustas,1993,11.8708,0.118708
Benin,robustas,1993,,
Brazil,robustas,1993,35.5441,0.355441
Burundi,robustas,1993,41.8018,0.418018
Cameroon,robustas,1993,17.3955,0.17395499999999997
Central African Republic,robustas,1993,23.8924,0.238924
Congo,robustas,1993,18.4404,0.184404
Côte d'Ivoire,robustas,1993,27.6964,0.276964
Democratic Republic of Congo,robustas,1993,,
Ecuador,robustas,1993,19.5204,0.195204
Gabon,robustas,1993,48.1054,0.48105400000000004
Ghana,robustas,1993,,
Guinea,robustas,1993,27.4662,0.274662
India,robustas,1993,44.2088,0.442088
Indonesia,robustas,1993,28.4882,0.28488199999999997
Liberia,robustas,1993,,
Madagascar,robustas,1993,36.2656,0.362656
Nigeria,robustas,1993,36.0781,0.360781
Papua New Guinea,robustas,1993,54.8047,0.548047
Philippines,robustas,1993,46.4492,0.46449199999999996
Sierra Leone,robustas,1993,,
Sri Lanka,robustas,1993,28.8866,0.288866
Tanzania,robustas,1993,11.8801,0.118801
Thailand,robustas,1993,18.2894,0.182894
Togo,robustas,1993,22.6435,0.226435
Trinidad & Tobago,robustas,1993,72.1989,0.721989
Uganda,robustas,1993,11.7661,0.117661
Viet Nam,robustas,1993,34.5296,0.34529600000000005
Colombia,colombian_milds,1994,85.9942,0.8599420000000001
Kenya,colombian_milds,1994,152.6058,1.526058
Tanzania,colombian_milds,1994,62.1553,0.621553
Bolivia (Plurinational State of),other_milds,1994,79.915,0.79915
Burundi,other_milds,1994,60.6823,0.606823
Cameroon,other_milds,1994,88.3161,0.8831610000000001
Costa Rica,other_milds,1994,81.3628,0.8136279999999999
Cuba,other_milds,1994,203.5302,2.035302
Democratic Republic of Congo,other_milds,1994,,
Dominican Republic,other_milds,1994,112.264,1.1226399999999999
Ecuador,other_milds,1994,76.4202,0.7642019999999999
El Salvador,other_milds,1994,99.2603,0.992603
Guatemala,other_milds,1994,75.3208,0.7532080000000001
Haiti,other_milds,1994,25.8735,0.258735
Honduras,other_milds,1994,81.5661,0.8156610000000001
India,other_milds,1994,78.4057,0.784057
Jamaica,other_milds,1994,290.5986,2.905986
Madagascar,other_milds,1994,,
Malawi,other_milds,1994,92.4135,0.924135
Mexico,other_milds,1994,157.9099,1.579099
Nicaragua,other_milds,1994,,
Panama,other_milds,1994,80.119,0.80119
Papua New Guinea,other_milds,1994,149.0779,1.490779
Peru,other_milds,1994,88.1397,0.8813970000000001
Rwanda,other_milds,1994,49.4221,0.494221
Sri Lanka,other_milds,1994,71.9905,0.719905
Uganda,other_milds,1994,75.4993,0.754993
Venezuela,other_milds,1994,,
Zambia,other_milds,1994,88.2671,0.882671
Zimbabwe,other_milds,1994,,
Angola,brazilian_naturals,1994,,
Brazil,brazilian_naturals,1994,114.5687,1.1456870000000001
Ethiopia,brazilian_naturals,1994,109.546,1.09546
Indonesia,brazilian_naturals,1994,173.5073,1.7350729999999999
Philippines,brazilian_naturals,1994,99.6167,0.9961669999999999
Thailand,brazilian_naturals,1994,,
Viet Nam,brazilian_naturals,1994,,
Angola,robustas,1994,,
Benin,robustas,1994,,
Brazil,robustas,1994,85.4261,0.854261
Burundi,robustas,1994,41.4499,0.414499
Cameroon,robustas,1994,29.8547,0.298547
Central African Republic,robustas,1994,32.742,0.32742
Congo,robustas,1994,8.7749,0.08774900000000001
Côte d'Ivoire,robustas,1994,29.7788,0.297788
Democratic Republic of Congo,robustas,1994,,
Ecuador,robustas,1994,63.2941,0.632941
Gabon,robustas,1994,27.7637,0.277637
Ghana,robustas,1994,,
Guinea,robustas,1994,61.3323,0.613323
India,robustas,1994,56.4636,0.564636
Indonesia,robustas,1994,91.3781,0.9137810000000001
Liberia,robustas,1994,,
Madagascar,robustas,1994,43.9881,0.439881
Nigeria,robustas,1994,51.554,0.51554
Papua New Guinea,robustas,1994,95.6374,0.956374
Philippines,robustas,1994,94.6608,0.9466079999999999
Sierra Leone,robustas,1994,,
Sri Lanka,robustas,1994,71.9905,0.719905
Tanzania,robustas,1994,24.0035,0.240035
Thailand,robustas,1994,18.7899,0.18789899999999998
Togo,robustas,1994,25.9924,0.259924
Trinidad & Tobago,robustas,1994,64.1384,0.6413840000000001
Uganda,robustas,1994,41.6628,0.416628
Viet Nam,robustas,1994,86.0079,0.860079
Colombia,colombian_milds,1995,99.6231,0.996231
Kenya,colombian_milds,1995,140.1651,1.401651
Tanzania,colombian_milds,1995,86.7599,0.867599
Bolivia (Plurinational State of),other_milds,1995,76.9867,0.769867
Burundi,other_milds,1995,56.6854,0.566854
Cameroon,other_milds,1995,85.2593,0.8525929999999999
Costa Rica,other_milds,1995,88.2256,0.882256
Cuba,other_milds,1995,188.601,1.88601
Democratic Republic of Congo,other_milds,1995,51.1246,0.511246
Dominican Republic,other_milds,1995,109.2636,1.092636
Ecuador,other_milds,1995,173.3047,1.733047
El Salvador,other_milds,1995,100.5128,1.005128
Guatemala,other_milds,1995,99.34,0.9934000000000001
Haiti,other_milds,1995,36.2968,0.36296799999999996
Honduras,other_milds,1995,102.5493,1.025493
India,other_milds,1995,84.7157,0.8471569999999999
Jamaica,other_milds,1995,284.2448,2.842448
Madagascar,other_milds,1995,87.3469,0.873469
Malawi,other_milds,1995,125.2991,1.252991
Mexico,other_milds,1995,162.7935,1.627935
Nicaragua,other_milds,1995,,
Panama,other_milds,1995,97.3754,0.973754
Papua New Guinea,other_milds,1995,83.9783,0.8397830000000001
Peru,other_milds,1995,95.8392,0.958392
Rwanda,other_milds,1995,54.9261,0.549261
Sri Lanka,other_milds,1995,98.9851,0.989851
Uganda,other_milds,1995,68.259,0.68259
Venezuela,other_milds,1995,,
Zambia,other_milds,1995,69.2634,0.6926340000000001
Zimbabwe,other_milds,1995,,
Angola,brazilian_naturals,1995,,
Brazil,brazilian_naturals,1995,115.5228,1.1552280000000001
Ethiopia,brazilian_naturals,1995,115.0172,1.150172
Indonesia,brazilian_naturals,1995,,
Philippines,brazilian_naturals,1995,106.301,1.06301
Thailand,brazilian_naturals,1995,,
Viet Nam,brazilian_naturals,1995,,
Angola,robustas,1995,,
Benin,robustas,1995,,
Brazil,robustas,1995,97.4999,0.974999
Burundi,robustas,1995,42.3356,0.423356
Cameroon,robustas,1995,52.0795,0.520795
Central African Republic,robustas,1995,57.1888,0.571888
Congo,robustas,1995,27.2813,0.272813
Côte d'Ivoire,robustas,1995,59.4027,0.5940270000000001
Democratic Republic of Congo,robustas,1995,28.3495,0.283495
Ecuador,robustas,1995,143.6162,1.436162
Gabon,robustas,1995,40.9219,0.409219
Ghana,robustas,1995,,
Guinea,robustas,1995,92.2648,0.9226479999999999
India,robustas,1995,66.5331,0.665331
Indonesia,robustas,1995,95.6672,0.956672
Liberia,robustas,1995,,
Madagascar,robustas,1995,58.7292,0.587292
Nigeria,robustas,1995,,
Papua New Guinea,robustas,1995,66.3073,0.663073
Philippines,robustas,1995,104.3144,1.043144
Sierra Leone,robustas,1995,,
Sri Lanka,robustas,1995,93.2376,0.932376
Tanzania,robustas,1995,44.6094,0.446094
Thailand,robustas,1995,36.8393,0.368393
Togo,robustas,1995,61.4095,0.6140950000000001
Trinidad & Tobago,robustas,1995,63.8905,0.6389050000000001
Uganda,robustas,1995,59.7927,0.597927
Viet Nam,robustas,1995,95.1844,0.9518439999999999
Colombia,colombian_milds,1996,93.5556,0.9355559999999999
Kenya,colombian_milds,1996,110.036,1.10036
Tanzania,colombian_milds,1996,62.5345,0.625345
Bolivia (Plurinational State of),other_milds,1996,57.1799,0.5717990000000001
Burundi,other_milds,1996,51.9721,0.519721
Cameroon,other_milds,1996,80.9459,0.8094589999999999
Costa Rica,other_milds,1996,92.7809,0.927809
Cuba,other_milds,1996,188.5711,1.885711
Democratic Republic of Congo,other_milds,1996,68.0387,0.6803870000000001
Dominican Republic,other_milds,1996,87.671,0.8767100000000001
Ecuador,other_milds,1996,141.1327,1.411327
El Salvador,other_milds,1996,75.0201,0.750201
Guatemala,other_milds,1996,83.7674,0.8376739999999999
Haiti,other_milds,1996,28.1373,0.281373
Honduras,other_milds,1996,67.6608,0.676608
India,other_milds,1996,78.3183,0.783183
Jamaica,other_milds,1996,332.1091,3.321091
Madagascar,other_milds,1996,94.7194,0.947194
Malawi,other_milds,1996,95.6576,0.956576
Mexico,other_milds,1996,123.4396,1.234396
Nicaragua,other_milds,1996,,
Panama,other_milds,1996,100.9089,1.0090890000000001
Papua New Guinea,other_milds,1996,95.0217,0.950217
Peru,other_milds,1996,77.7005,0.7770050000000001
Rwanda,other_milds,1996,55.4431,0.554431
Sri Lanka,other_milds,1996,,
Uganda,other_milds,1996,52.9977,0.529977
Venezuela,other_milds,1996,,
Zambia,other_milds,1996,81.4654,0.814654
Zimbabwe,other_milds,1996,,
Angola,brazilian_naturals,1996,,
Brazil,brazilian_naturals,1996,96.3456,0.9634560000000001
Ethiopia,brazilian_naturals,1996,67.7365,0.6773650000000001
Indonesia,brazilian_naturals,1996,,
Philippines,brazilian_naturals,1996,76.3125,0.763125
Thailand,brazilian_naturals,1996,,
Viet Nam,brazilian_naturals,1996,,
Angola,robustas,1996,,
Benin,robustas,1996,,
Brazil,robustas,1996,69.7791,0.697791
Burundi,robustas,1996,40.4503,0.404503
Cameroon,robustas,1996,51.0193,0.510193
Central African Republic,robustas,1996,45.0685,0.450685
Congo,robustas,1996,14.1896,0.141896
Côte d'Ivoire,robustas,1996,57.6963,0.576963
Democratic Republic of Congo,robustas,1996,32.8854,0.328854
Ecuador,robustas,1996,97.5143,0.9751430000000001
Gabon,robustas,1996,39.9081,0.39908099999999996
Ghana,robustas,1996,,
Guinea,robustas,1996,,
India,robustas,1996,56.6737,0.5667369999999999
Indonesia,robustas,1996,58.3501,0.5835009999999999
Liberia,robustas,1996,,
Madagascar,robustas,1996,61.0601,0.610601
Nigeria,robustas,1996,,
Papua New Guinea,robustas,1996,63.7485,0.637485
Philippines,robustas,1996,68.9094,0.6890940000000001
Sierra Leone,robustas,1996,,
